   PID TTY          TIME CMD
   850 ?        00:00:00 cups-browsed
   859 ?        00:00:00 irqbalance
   860 ?        00:00:00 lightdm
   891 ?        00:00:00 polkitd
   905 tty7     00:00:42 Xorg
   912 ?        00:00:00 sshd
   930 ?        00:00:00 dhclient
   943 ?        00:00:00 dnsmasq
  1192 ?        00:00:00 lightdm
  1260 ?        00:00:00 rtkit-daemon
  1276 ?        00:00:00 krfcommd
  1277 ?        00:00:00 upowerd
  1297 ?        00:00:00 colord
  1306 ?        00:00:00 snort
  1335 ?        00:00:00 systemd
  1336 ?        00:00:00 (sd-pam)
  1348 ?        00:00:00 gnome-keyring-d
  1350 ?        00:00:00 upstart
  1435 ?        00:00:00 upstart-udev-br
  1437 ?        00:00:02 dbus-daemon
  1449 ?        00:00:00 window-stack-br
  1477 ?        00:00:00 upstart-dbus-br
  1479 ?        00:00:00 upstart-dbus-br
  1483 ?        00:00:00 upstart-file-br
  1484 ?        00:00:03 ibus-daemon
  1505 ?        00:00:00 gvfsd
  1510 ?        00:00:00 gvfsd-fuse
  1518 ?        00:00:00 ibus-dconf
  1520 ?        00:00:01 ibus-ui-gtk3
  1524 ?        00:00:00 ibus-x11
  1525 ?        00:00:00 gpg-agent
  1531 ?        00:00:00 at-spi-bus-laun
  1542 ?        00:00:00 dbus-daemon
  1544 ?        00:00:00 at-spi2-registr
  1552 ?        00:00:01 bamfdaemon
  1557 ?        00:00:01 ibus-engine-sim
  1569 ?        00:00:01 hud-service
  1571 ?        00:00:01 unity-settings-
  1579 ?        00:00:00 gnome-session-b
  1583 ?        00:00:03 unity-panel-ser
  1597 ?        00:00:00 check_gl_textur <defunct>
  1604 ?        00:00:00 indicator-messa
  1607 ?        00:00:00 indicator-bluet
  1614 ?        00:00:00 indicator-power
  1617 ?        00:00:01 indicator-datet
  1618 ?        00:00:00 indicator-keybo
  1620 ?        00:00:00 indicator-sound
  1621 ?        00:00:00 indicator-print
  1623 ?        00:00:00 indicator-sessi
  1633 ?        00:00:00 indicator-appli
  1635 ?        00:00:00 dconf-service
  1662 ?        00:00:00 evolution-sourc
  1687 ?        00:00:00 pulseaudio
  1692 ?        00:00:43 compiz
  1735 ?        00:00:03 evolution-calen
  1746 ?        00:00:00 unity-fallback-
  1747 ?        00:00:20 gnome-software
  1749 ?        00:00:02 vmtoolsd
  1751 ?        00:00:00 nm-applet
  1754 ?        00:00:05 nautilus
  1758 ?        00:00:00 polkit-gnome-au
  1790 ?        00:00:00 gvfs-udisks2-vo
  1794 ?        00:00:00 udisksd
  1813 ?        00:00:00 gvfs-afc-volume
  1814 ?        00:00:00 kworker/1:3
  1820 ?        00:00:00 gvfs-gphoto2-vo
  1823 ?        00:00:04 fwupd
  1828 ?        00:00:00 gvfs-goa-volume
  1833 ?        00:00:00 gvfs-mtp-volume
  1855 ?        00:00:02 evolution-calen
  1858 ?        00:00:00 gvfsd-trash
  1886 ?        00:00:00 evolution-addre
  1889 ?        00:00:02 evolution-calen
  1901 ?        00:00:00 evolution-addre
  1926 ?        00:00:00 gvfsd-metadata
  1933 ?        00:00:00 zeitgeist-datah
  1940 ?        00:00:00 sh
  1944 ?        00:00:00 zeitgeist-daemo
  1967 ?        00:00:00 zeitgeist-fts
  1982 ?        00:00:19 gedit
  1999 ?        00:00:08 gnome-terminal-
  2006 pts/17   00:00:00 bash
  2060 ?        00:00:00 update-notifier
  2086 ?        00:00:00 jbd2/sda3-8
  2087 ?        00:00:00 ext4-rsv-conver
  2107 ?        00:00:00 gvfsd-network
  2365 ?        00:00:00 gvfsd-dnssd
  2450 ?        00:00:00 deja-dup-monito
  2458 ?        00:00:00 kworker/u256:1
  2463 ?        00:00:00 kworker/0:0
  2491 ?        00:00:00 kworker/u256:2
  2513 ?        00:00:00 kworker/0:2
  2515 ?        00:00:00 kworker/1:1
  2869 ?        00:00:00 kworker/u256:0
  2903 pts/17   00:00:00 ps
